id,bouwjaar
"0363100012175517","1905"
"0363100012175627","1905"
"0363100012175762","1635"
"0363100012175763","1635"
"0363100012179958","1873"
"0363100012181103","1894"
"0363100012181852","1930"
"0363100012181975","2014"
"0363100012182215","1005"
"0363100012182730","1825"
"0363100012168345","1668"
"0363100012171376","1986"
"0363100012175639","1905"
"0363100012175887","1750"
"0363100012176128","1732"
"0363100012176247","1891"
"0363100012177102","1905"
"0363100012178625","1972"
"0363100012180209","1005"
"0363100012181872","1683"
"0363100012181891","1005"
"0363100012254465","2022"
"0363100012168256","1732"
"0363100012170377","1967"
"0363100012175490","1777"
"0363100012177204","1650"
"0363100012177678","1739"
"0363100012180457","1923"
"0363100012186194","2000"
"0363100012170916","1983"
"0363100012171383","1871"
"0363100012171566","1905"
"0363100012175022","1711"
"0363100012175354","1747"
"0363100012175471","1005"
"0363100012175657","1707"
"0363100012176767","1931"
"0363100012180917","1804"
"0363100012181362","1870"
"0363100012182088","1987"
"0363100012182496","1668"
"0363100012182688","1901"
"0363100012182911","1680"
"0363100012241366","2015"
"0363100012249774","1954"
"0363100012165044","1670"
"0363100012165125","1667"
"0363100012167518","1729"
"0363100012171238","1560"
"0363100012175220","1977"
"0363100012178584","1700"
"0363100012178695","1680"
"0363100012178970","1701"
"0363100012179535","1715"
"0363100012182495","1877"
"0363100012167565","1964"
"0363100012176082","1935"
"0363100012178225","1785"
"0363100012182018","1887"
"0363100012185595","1965"
"0363100012571632","1905"
"0363100012169744","1896"
"0363100012175487","1900"
"0363100012175498","1455"
"0363100012176329","1905"
"0363100012178684","1698"
"0363100012178790","1675"
"0363100012180157","1737"
"0363100012181097","1887"
"0363100012181762","1800"
"0363100012182755","1736"
"0363100012182933","1785"
"0363100012165122","1750"
"0363100012168530","1987"
"0363100012170305","1891"
"0363100012170684","1981"
"0363100012175885","1729"
"0363100012177624","1709"
"0363100012177817","1905"
"0363100012182424","1697"
"0363100012182632","1941"
"0363100012182731","1805"
"0363100012165113","1650"
"0363100012171046","1905"
"0363100012171058","1723"
"0363100012171712","1900"
"0363100012175015","1005"
"0363100012175275","1719"
"0363100012175311","1734"
"0363100012178905","1905"
"0363100012178962","1731"
"0363100012181370","1866"
"0363100012164939","1771"
"0363100012164958","1718"
"0363100012167506","1891"
"0363100012170625","1695"
"0363100012175886","1005"
"0363100012175959","1769"
"0363100012177830","1912"
"0363100012180414","1890"
"0363100012181768","1810"
"0363100012182462","1986"
"0363100012182611","1905"
"0363100012183081","1852"
"0363100012186195","2000"
"0363100012246214","2017"
"0363100012167557","1940"
"0363100012167600","1675"
"0363100012170356","1924"
"0363100012171099","1995"
"0363100012175317","1699"
"0363100012175465","1742"
"0363100012175630","1844"
"0363100012178101","1986"
"0363100012178166","1005"
"0363100012181095","1902"
"0363100012181188","1884"
"0363100012181441","1866"
"0363100012182948","1987"
"0363100012254443","2022"
"0363100012254444","2022"
"0363100012168336","1740"
"0363100012175877","1930"
"0363100012178650","1905"
"0363100012178711","1761"
"0363100012180133","1903"
"0363100012180156","1762"
"0363100012182050","1938"
"0363100012182071","1938"
"0363100012164945","1883"
"0363100012167622","1740"
"0363100012170875","1743"
"0363100012171183","1905"
"0363100012171321","1905"
"0363100012175340","1698"
"0363100012177446","1904"
"0363100012178533","1741"
"0363100012180942","1891"
"0363100012181114","1852"
"0363100012181116","1851"
"0363100012183110","1905"
"0363100012167566","1964"
"0363100012175715","1742"
"0363100012178532","1992"
"0363100012179622","1711"
"0363100012180916","1776"
"0363100012182578","1900"
"0363100012182608","1830"
"0363100012183077","1905"
"0363100012165490","1964"
